kernel,shape_tag,M,N,K,dtype,BM,BN,BK,stages,warps,group_m,flatten,ws,num_sms,ms,tflops
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,3,8,8,0,0,0,0.020423356422233856,105.14841946655473
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,3,8,8,1,132,0,0.0031082667055584135,690.8942672646862
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,3,8,8,0,0,0,0.02043418943097717,105.09267594165132
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,3,8,8,1,132,1,0.9347733325428433,2.297330885722047
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,4,4,8,0,0,0,0.019681454572657294,109.11203946193177
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,4,4,8,1,132,0,0.0031120777175336787,690.0482066694274
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,4,4,8,0,0,0,0.01966733334120363,109.1903823840195
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,4,4,8,1,132,1,0.8037818074226379,2.6717246249775197
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,4,8,8,0,0,0,0.02041312361533722,105.20112886528092
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,4,8,8,1,132,0,0.003096990522352003,693.4098223746252
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,4,8,8,0,0,0,0.020392333312580984,105.30838306154583
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,4,8,8,1,132,1,1.0448839962482452,2.0552364240535246
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,5,4,8,0,0,0,0.02751247045748374,78.05491881649098
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,5,4,8,1,132,0,0.0031022222613467385,692.240422215181
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,5,4,8,0,0,0,0.027793617898158814,77.26535119928593
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,5,8,8,0,0,0,0.028715428519284443,74.78501135923543
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,5,8,8,1,132,0,0.003103700969107101,691.9106155441921
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,5,8,8,0,0,0,0.028697887623912833,74.83072190339841
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,5,8,8,1,132,1,1.1228199899196625,1.9125805269584235
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,2,4,8,0,0,0,0.01500387094233946,143.1286403524047
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,2,4,8,1,132,0,0.003099889958003929,692.7612518809541
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,2,4,8,0,0,0,0.01502574258253421,142.92030069091
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,2,4,8,1,132,1,0.7183706710735956,2.989381018006503
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,2,8,8,0,0,0,0.016388571340140407,131.03543947971744
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,2,8,8,1,132,0,0.0031082264613360167,690.9032127205242
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,2,8,8,0,0,0,0.016363959552513227,131.23251992334477
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,2,8,8,1,132,1,0.7746240008961071,2.772291647968214
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,3,4,8,0,0,0,0.014893714328306717,144.1872457509496
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,3,4,8,1,132,0,0.003093747621022382,694.1366624115018
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,3,4,8,0,0,0,0.014994509810326146,143.2179961308979
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,3,4,8,1,132,1,0.6924319962660471,3.1013639744846375
